O	Na	Mg	Al	Si	K	Ca	Ti	Fe
2.97	0.095	0.119	0.282	0.958	0.046	0.168	0.022	0.197
2.99	0	0.149	0.341	1.003	0.015	0.142	0	0.131
2.913	0.166	0.15	0.27	0.964	0.037	0.151	0.001	0.151
2.954	0.074	0.089	0.309	0.955	0.029	0.233	0	0.198
3.064	0.082	0.053	0.332	1.027	0.042	0.252	0	0.132
2.865	0.092	0.12	0.429	0.899	0.039	0.127	0.023	0.063
2.932	0.052	0.085	0.452	0.942	0.026	0.056	0.005	0.146
2.954	0.055	0.088	0.313	0.927	0.05	0.22	0.013	0.165
2.699	0.09	0.066	0.212	0.934	0.07	0.195	0.031	0.081
3.096	0.088	0.156	0.326	0.955	0.056	0.214	0.036	0.153
3.053	0.074	0.126	0.354	0.984	0.038	0.255	0	0.107
3.092	0.044	0.132	0.38	0.957	0.037	0.248	0.032	0.113
3.331	0.129	0.111	0.332	0.976	0.03	0.238	0.039	0.301
3.197	0.149	0.15	0.381	0.992	0.059	0.129	0.006	0.177
2.843	0.109	0.136	0.252	0.941	0.007	0.134	0.008	0.175
2.937	0.098	0.108	0.255	0.941	0.028	0.224	0.023	0.187
3.351	0.06	0.077	0.431	0.962	0.072	0.265	0.004	0.275
3.187	0.07	0.097	0.386	0.952	0.033	0.286	0.028	0.188
3.413	0.083	0.18	0.353	1.025	0.016	0.359	0	0.194
3.064	0.052	0.073	0.405	0.993	0.012	0.22	0	0.139
2.908	0.081	0.099	0.347	0.933	0.016	0.111	0.013	0.185
2.937	0.144	0.101	0.329	0.975	0.046	0.111	0.035	0.09
3.063	0.065	0.139	0.347	0.998	0.034	0.192	0.032	0.074
2.993	0.09	0.091	0.375	0.989	0.068	0.19	0.015	0.063
3.08	0.064	0.12	0.492	0.903	0.045	0.233	0.034	0.049
2.823	0.059	0.116	0.416	0.883	0.021	0.13	0	0.13
3.061	0.132	0.097	0.292	0.994	0.054	0.114	0	0.265
3.246	0.13	0.086	0.381	1.008	0.059	0.237	0.036	0.124
2.935	0.065	0.092	0.225	0.976	0.033	0.19	0.045	0.155
3.179	0.149	0.183	0.341	1.023	0.045	0.179	0.002	0.157
2.922	0.092	0	0.363	1.014	0.02	0.232	0.003	0.053
2.926	0.086	0.134	0.29	0.959	0.048	0.244	0	0.102
3.294	0.057	0.102	0.36	1.07	0.068	0.108	0.032	0.209
2.711	0.174	0.125	0.326	0.932	0.04	0.09	0	0.027
3.033	0	0.125	0.404	0.946	0.015	0.242	0.013	0.111
2.794	0.056	0.154	0.212	1.001	0.053	0.243	0.009	0.005
2.884	0.137	0.055	0.257	1.012	0.035	0.141	0.002	0.182
3.345	0.12	0.15	0.454	0.925	0.028	0.218	0.023	0.306
3.204	0.062	0.123	0.369	0.978	0.027	0.204	0.028	0.226
2.975	0.093	0.165	0.292	1.003	0.045	0.164	0	0.116
2.946	0.093	0.112	0.329	0.997	0.029	0.062	0.019	0.13
2.894	0.044	0.089	0.308	0.996	0.045	0.139	0.006	0.133
3.025	0.098	0.148	0.328	0.959	0.034	0.196	0	0.179
3.001	0.088	0.06	0.283	1.054	0.051	0.227	0.006	0.081
3.059	0.003	0.078	0.373	1.043	0.048	0.14	0.019	0.106
3.071	0.049	0.149	0.299	0.968	0.049	0.242	0.004	0.165
2.827	0.044	0.143	0.218	0.97	0.014	0.228	0.025	0.087
2.561	0	0.101	0.22	0.897	0.061	0.063	0.024	0.163
2.968	0.082	0.065	0.198	1.057	0.05	0.351	0.004	0.064
3.069	0.061	0.156	0.287	1.03	0.052	0.11	0.009	0.201
2.748	0.129	0.128	0.289	0.951	0.03	0.047	0	0.137
3.127	0.095	0.15	0.31	0.972	0.038	0.232	0.012	0.217
2.868	0.135	0.119	0.307	0.938	0.023	0.188	0.008	0.122
3.047	0.08	0.154	0.22	1.021	0.043	0.134	0.006	0.242
3.179	0.134	0.105	0.263	1.145	0.053	0.08	0	0.206
2.911	0.123	0.109	0.355	0.908	0.023	0.142	0.023	0.167
3.042	0.047	0.138	0.301	0.949	0.043	0.142	0.004	0.265
3.051	0.069	0.091	0.359	0.936	0.03	0.164	0.015	0.212
2.814	0.094	0.106	0.25	0.982	0.016	0.026	0.029	0.169
2.974	0.163	0.092	0.353	0.953	0.038	0.143	0	0.175
2.945	0.115	0.145	0.251	0.95	0.028	0.228	0.022	0.169
3.111	0.118	0.077	0.336	0.933	0.023	0.129	0.03	0.286
3.096	0.051	0.102	0.305	1.022	0	0.272	0.031	0.12
2.974	0.04	0.156	0.356	0.959	0.025	0.154	0.028	0.107
3.049	0.061	0.073	0.306	1.002	0.06	0.244	0.03	0.124
3.125	0.115	0.097	0.392	0.992	0.032	0.141	0.035	0.136
3.443	0.153	0.138	0.423	1.018	0.055	0.264	0.003	0.218
3.277	0.099	0.077	0.482	0.965	0.032	0.265	0.011	0.179
3.106	0.073	0.183	0.333	1.02	0.034	0.165	0.003	0.136
3.145	0.129	0.09	0.49	0.953	0.034	0.196	0.027	0.065
3.116	0.089	0.145	0.3	1.023	0.045	0.319	0.024	0.031
3.12	0.019	0.156	0.328	1.013	0.046	0.165	0.032	0.143
2.767	0.033	0.1	0.277	0.955	0.043	0.122	0.018	0.124
2.975	0.103	0.127	0.284	0.93	0.035	0.138	0	0.262
2.864	0.069	0.076	0.342	1.021	0.044	0.094	0.023	0.028
3.077	0.084	0.064	0.387	1.053	0.023	0.174	0.002	0.083
3.212	0.055	0.157	0.29	1	0.026	0.252	0.024	0.244
2.887	0.069	0.128	0.301	0.971	0.046	0.111	0.037	0.086
3.164	0.074	0.082	0.415	1.063	0.03	0.165	0	0.093
2.986	0.095	0.109	0.301	0.937	0	0.235	0.02	0.185
3.072	0.116	0.16	0.286	0.939	0.039	0.267	0.004	0.224
3.088	0.048	0.128	0.325	1.016	0.021	0.166	0	0.194
2.873	0	0.136	0.227	0.945	0.057	0.235	0	0.24
3.454	0.08	0.17	0.433	1.011	0.057	0.229	0.018	0.213
3.016	0.073	0.103	0.329	0.947	0.048	0.286	0.012	0.105
2.631	0.038	0.099	0.261	0.871	0.027	0.278	0	0.082
3.255	0.077	0.15	0.417	0.94	0.015	0.275	0.011	0.184
3.29	0.173	0.123	0.416	1.031	0.014	0.194	0.018	0.109
2.741	0.111	0.206	0.269	0.875	0.024	0.283	0.016	0
2.627	0.044	0.129	0.224	0.945	0.035	0.197	0	0.031
3.071	0.116	0.102	0.396	0.963	0.025	0.159	0.034	0.113
3.148	0.095	0.144	0.374	0.962	0.047	0.179	0.019	0.226
3.304	0.148	0.144	0.297	1.025	0.055	0.249	0.047	0.169
2.937	0.108	0.199	0.33	0.951	0.053	0.174	0.016	0.045
2.929	0.08	0.077	0.284	0.974	0.05	0.137	0.011	0.211
2.992	0.146	0.052	0.362	1.002	0.04	0.173	0	0.087
3.03	0.139	0.01	0.404	0.99	0.035	0.149	0.019	0.113
2.972	0.085	0.073	0.275	1.052	0.033	0.162	0	0.137
2.918	0.043	0.116	0.306	0.996	0.045	0.008	0.048	0.171
2.788	0.02	0.093	0.336	0.963	0.005	0.118	0.014	0.08
2.85	0.107	0.045	0.337	0.982	0.003	0.151	0.035	0.051
2.926	0.156	0.144	0.229	0.987	0.039	0.124	0.027	0.15
3.232	0.095	0.144	0.415	0.992	0.055	0.115	0.003	0.242
2.988	0.117	0.125	0.391	0.888	0.033	0.079	0.033	0.217
3.368	0.117	0.139	0.406	1.079	0.034	0.189	0.011	0.163
2.871	0.062	0.093	0.33	1.022	0.008	0.1	0	0.104
3.008	0.096	0.14	0.382	0.957	0.046	0.206	0	0.077
3.278	0.11	0.12	0.437	1.031	0.064	0.139	0.018	0.151
3.249	0.13	0.177	0.279	0.958	0.022	0.211	0.029	0.335
2.762	0.053	0.097	0.275	0.964	0.018	0.186	0	0.096
3.16	0.097	0.105	0.415	0.978	0.03	0.105	0.014	0.237
3.08	0.125	0.088	0.293	0.994	0.065	0.228	0.012	0.171
3.173	0.028	0.065	0.269	1.103	0.043	0.257	0.007	0.147
2.734	0.087	0.053	0.34	0.965	0.052	0.091	0.014	0.047
3.223	0.133	0.107	0.295	1.027	0.044	0.296	0.039	0.132
2.905	0.157	0.078	0.419	0.995	0.056	0.077	0.01	0.004
2.765	0.111	0.058	0.275	0.981	0.033	0.155	0	0.102
2.788	0.068	0.135	0.389	0.913	0.026	0.123	0	0.066
2.975	0.098	0.103	0.421	0.929	0.055	0.144	0.019	0.107
3.374	0.064	0.16	0.318	1.016	0.05	0.29	0.052	0.173
3.168	0.049	0.105	0.376	0.924	0.029	0.17	0.01	0.301
3.214	0.105	0.139	0.317	1.002	0.045	0.159	0.018	0.252
2.772	0.087	0.138	0.255	1.029	0.018	0.083	0.004	0.049
3.354	0.09	0.244	0.361	1.009	0.072	0.133	0	0.266
2.864	0.113	0.09	0.361	0.951	0.03	0.145	0.028	0.058
3.131	0.093	0.105	0.375	0.955	0.08	0.148	0.004	0.218
3.175	0.163	0.156	0.411	0.977	0.034	0.248	0.017	0.056
3.19	0.145	0.081	0.231	1.115	0.062	0.148	0.025	0.171
3.242	0.14	0.166	0.352	1.073	0.002	0.16	0	0.136
2.998	0.047	0.217	0.315	0.956	0.045	0.098	0.004	0.172
3.182	0.082	0.17	0.308	0.938	0.024	0.199	0.024	0.325
3.221	0.118	0.171	0.424	1.028	0.041	0.152	0.005	0.082
3.105	0.046	0.126	0.246	0.986	0.032	0.241	0.028	0.224
3.05	0.073	0.1	0.32	0.976	0.026	0.27	0.015	0.137
3.238	0.087	0.172	0.445	1.016	0.042	0.216	0	0.063
2.949	0.116	0.139	0.288	0.984	0.043	0.058	0.028	0.179
3.353	0.094	0.154	0.448	1.053	0.041	0.178	0.022	0.124
2.92	0.101	0.039	0.352	0.96	0.064	0.199	0.019	0.083
2.977	0.062	0.176	0.349	0.939	0.056	0.12	0	0.167
2.887	0.058	0.071	0.285	0.947	0.02	0.194	0.011	0.169
2.861	0.064	0.111	0.261	1.003	0.059	0.188	0.028	0.034
3.153	0.09	0.094	0.323	1.041	0.025	0.173	0.051	0.13
2.448	0.089	0.1	0.147	0.917	0.01	0.054	0.012	0.153
3.158	0.115	0.134	0.221	0.988	0.058	0.281	0.011	0.248
3.077	0.07	0.089	0.371	0.956	0.021	0.237	0.033	0.147
3.172	0.111	0.14	0.326	0.995	0.031	0.185	0.019	0.197
3.134	0.085	0.074	0.37	0.93	0.08	0.233	0.014	0.213
3.01	0.072	0.012	0.29	1.052	0.041	0.246	0.009	0.136
2.751	0.092	0.182	0.231	0.94	0.019	0.153	0.046	0.036
3.2	0.036	0.083	0.342	0.968	0.035	0.297	0.044	0.19
2.909	0.129	0.102	0.345	0.933	0.016	0.244	0.005	0.069
3.002	0.073	0.186	0.215	0.951	0.03	0.222	0	0.281
3.098	0.088	0.124	0.228	0.996	0.054	0.151	0.032	0.285
2.979	0.067	0.115	0.344	0.896	0.058	0.29	0	0.198
3.272	0.054	0.074	0.405	1.011	0.053	0.181	0.023	0.195
2.987	0.011	0.11	0.289	1.002	0.03	0.217	0	0.152
3.285	0.058	0.2	0.298	0.935	0.039	0.221	0.057	0.319
2.948	0.099	0.11	0.33	1.017	0.044	0.148	0.015	0.049
2.746	0.118	0.076	0.181	0.953	0.054	0.08	0.036	0.234
3.02	0.111	0.122	0.221	1.001	0.033	0.205	0.021	0.221
3.052	0.048	0.119	0.274	1.012	0.023	0.196	0.013	0.19
2.902	0.135	0.161	0.345	0.984	0.058	0.141	0	0.015
2.814	0.088	0.183	0.31	0.902	0.021	0.152	0.043	0.055
3.069	0.1	0.064	0.347	1.024	0.066	0.197	0.012	0.091
3.174	0.111	0.067	0.361	0.974	0.062	0.277	0.004	0.234
3.211	0.036	0.151	0.425	0.974	0.033	0.229	0.024	0.138
3.09	0	0.124	0.368	1.02	0.027	0.182	0.002	0.12
2.831	0.103	0.104	0.297	0.933	0.042	0.1	0.034	0.129
3.154	0.083	0.12	0.342	1.039	0.07	0.127	0.007	0.218
2.937	0.043	0.151	0.274	0.988	0.026	0.215	0.022	0.104
3.147	0.07	0.088	0.301	1.086	0.019	0.203	0	0.154
2.702	0.146	0.138	0.244	0.881	0.042	0.197	0.014	0.093
3.37	0.111	0.161	0.345	1.058	0.02	0.202	0.035	0.228
3.185	0.126	0.194	0.337	0.985	0.044	0.23	0.024	0.12
3.122	0.048	0.215	0.265	0.982	0.014	0.141	0.014	0.251
2.953	0	0.095	0.308	1.003	0.023	0.072	0.022	0.182
2.886	0.141	0.084	0.295	0.953	0.028	0.176	0.006	0.168
2.751	0.021	0.13	0.341	0.965	0.025	0.112	0.023	0
2.669	0.068	0.125	0.276	0.873	0.035	0.327	0.003	0
2.996	0.064	0.039	0.221	0.967	0.014	0.185	0.053	0.29
2.875	0.089	0.214	0.275	1.012	0.032	0.163	0	0
3.141	0.085	0.076	0.357	1.013	0.045	0.182	0.02	0.205
3.175	0.088	0.155	0.338	1.033	0.047	0.147	0.027	0.126
3.087	0.066	0.16	0.363	0.96	0.054	0.176	0.037	0.135
3.057	0.075	0.145	0.34	0.954	0.025	0.203	0.014	0.159
2.725	0.064	0.087	0.283	0.96	0.036	0.037	0.018	0.143
3.025	0.12	0.212	0.32	1.025	0.021	0.099	0.012	0.087
3.044	0.106	0.096	0.399	0.966	0.07	0.213	0	0.11
2.807	0.113	0.231	0.289	0.908	0.027	0.166	0	0.067
3.173	0.133	0.17	0.334	0.977	0.022	0.099	0.004	0.285
2.875	0.105	0.156	0.262	0.991	0.064	0.111	0	0.1
2.826	0.082	0.106	0.322	0.932	0.013	0.247	0	0.07
2.757	0.021	0.135	0.367	0.926	0.037	0.055	0	0.095
3.212	0.083	0.026	0.258	1.066	0.045	0.231	0.019	0.24
3.193	0.066	0.03	0.375	1.063	0.031	0.264	0.021	0.111
2.942	0.103	0.058	0.405	0.952	0.022	0.172	0	0.102
3.168	0.127	0	0.358	1.02	0.07	0.093	0.005	0.279
2.896	0.04	0.156	0.339	0.926	0.057	0.203	0	0.12
2.753	0.184	0.126	0.174	0.941	0.044	0.197	0.015	0.099
2.767	0.16	0.098	0.295	0.956	0.056	0.149	0.004	0.046
3.096	0.062	0.104	0.314	1.003	0	0.192	0.058	0.172
2.825	0.089	0.075	0.237	1.071	0.023	0.075	0.019	0.061
2.964	0.162	0.188	0.263	0.965	0.029	0.346	0.001	0.006
2.895	0.064	0.077	0.327	0.984	0.001	0.097	0	0.161
3.037	0.12	0.108	0.305	0.995	0.058	0.107	0.012	0.256
3.322	0.138	0.083	0.417	0.909	0.05	0.204	0.008	0.322
2.936	0.099	0.119	0.395	0.932	0.054	0.244	0	0.031
3.161	0.074	0.19	0.405	0.945	0.007	0.198	0.029	0.126
2.895	0.034	0.074	0.348	0.964	0.009	0.126	0.052	0.089
2.977	0.091	0.226	0.258	0.959	0.038	0.153	0.031	0.163
2.905	0.154	0.147	0.329	0.949	0.007	0.123	0	0.142
3.115	0.097	0.181	0.332	1.001	0.021	0.176	0.025	0.102
2.864	0.027	0.152	0.257	0.909	0.053	0.182	0.017	0.171
2.864	0.054	0.118	0.286	0.927	0.031	0.198	0.037	0.145
3.118	0.133	0.125	0.3	0.936	0.055	0.192	0.006	0.254
3.044	0.169	0.15	0.247	1.037	0.039	0.175	0.015	0.096
2.83	0.136	0.093	0.315	0.976	0.048	0.149	0	0.067
2.566	0.09	0.075	0.161	0.928	0.005	0.231	0.002	0.088
3.472	0.023	0.029	0.461	1.004	0.016	0.153	0.046	0.32
3.138	0.106	0.108	0.441	0.903	0.065	0.178	0	0.255
3.075	0.087	0.231	0.343	0.962	0.018	0.132	0.022	0.151
3.051	0.045	0.136	0.33	1.002	0.031	0.224	0	0.12
3.051	0.068	0.11	0.335	1.025	0.042	0.08	0.034	0.126
2.757	0.037	0.178	0.267	0.944	0.036	0.195	0.001	0.05
2.613	0.059	0.076	0.273	0.9	0.012	0.168	0.023	0.06
3.068	0.07	0.129	0.321	0.957	0.044	0.246	0	0.22
3.121	0.058	0.144	0.425	1.002	0.025	0.089	0.015	0.143
3.13	0.126	0.016	0.332	1.073	0.03	0.201	0	0.145
2.928	0.16	0.136	0.276	0.934	0.054	0.203	0.041	0.117
3.194	0.067	0.109	0.373	0.994	0.032	0.303	0.012	0.123
2.589	0.019	0.11	0.125	0.973	0.032	0.143	0.013	0.111
2.856	0.069	0.141	0.326	0.973	0.044	0.037	0.007	0.157
3.14	0.051	0.063	0.342	0.922	0.048	0.234	0.033	0.273
3.166	0.059	0.125	0.292	1.013	0.042	0.251	0.002	0.253
2.941	0.089	0.092	0.297	0.969	0.041	0.257	0.03	0.066
2.793	0.077	0.093	0.295	0.957	0.033	0.161	0.026	0.073
3.094	0.043	0.101	0.286	1.003	0.069	0.189	0	0.221
3.196	0.094	0.107	0.355	1.012	0.047	0.165	0.018	0.207
3.195	0.107	0.119	0.345	0.99	0.045	0.358	0	0.124
2.935	0.071	0.139	0.331	0.994	0.03	0.108	0.017	0.107
3.083	0.116	0.143	0.337	0.995	0.012	0.088	0.022	0.192
3.099	0.098	0.069	0.347	1.016	0.02	0.209	0.02	0.123
2.652	0.008	0.05	0.26	0.926	0.023	0.177	0.015	0.135
3.12	0.079	0.115	0.469	0.948	0.073	0.135	0.004	0.13
3.008	0.179	0.13	0.305	1.035	0.024	0.121	0	0.101
2.791	0.057	0.103	0.263	1.017	0.028	0.151	0.003	0.043
2.979	0.064	0.134	0.221	1.012	0.033	0.222	0	0.173
3.038	0.108	0.158	0.259	0.942	0.065	0.263	0.017	0.162
3.114	0.076	0.123	0.357	1.03	0.033	0.129	0.011	0.186
2.809	0.074	0.007	0.337	1	0.04	0.129	0.01	0.077
2.796	0.091	0.195	0.242	0.95	0.026	0.118	0	0.132
3.251	0.141	0.159	0.461	1.013	0.057	0.113	0	0.141
3.084	0.056	0.131	0.244	1.065	0.071	0.174	0.049	0.093
3.233	0.095	0.149	0.436	0.998	0.03	0.226	0.016	0.115
3.179	0.172	0.114	0.343	1.038	0.019	0.164	0	0.191
3.537	0.196	0.145	0.413	1.072	0.027	0.235	0.008	0.202
3.112	0.097	0.091	0.329	0.947	0.025	0.214	0.034	0.201
2.949	0.155	0.212	0.333	0.964	0.022	0.138	0.032	0.014
3.213	0.094	0.08	0.336	1.029	0.059	0.156	0.002	0.306
3.06	0.094	0.14	0.316	1.026	0.055	0.139	0.028	0.088
3.361	0.076	0.125	0.563	0.922	0.036	0.034	0.075	0.232
3.027	0.175	0.118	0.313	0.97	0.037	0.144	0.049	0.125
3.271	0.127	0.112	0.387	0.99	0.027	0.108	0.035	0.242
3.058	0.086	0.095	0.349	0.967	0.06	0.216	0.032	0.125
3.111	0.071	0.193	0.365	1.017	0.048	0.188	0.011	0.066
3.167	0.102	0.093	0.368	0.982	0.021	0.274	0.024	0.133
3.121	0.121	0.13	0.39	0.976	0.038	0.19	0.03	0.117
2.834	0.083	0.112	0.344	0.917	0.012	0.186	0.011	0.081
3.103	0.094	0.119	0.407	0.94	0.028	0.222	0.024	0.153
2.982	0.093	0.122	0.214	1.077	0.064	0.165	0.021	0.099
2.813	0.084	0.085	0.263	0.964	0.025	0.14	0.045	0.081
2.862	0.095	0.054	0.296	0.909	0.039	0.266	0	0.162
3.152	0.082	0.048	0.402	1.02	0.046	0.255	0	0.095
3.572	0.12	0.12	0.426	1.036	0.049	0.275	0.014	0.293
3.094	0.047	0.109	0.405	0.972	0.062	0.123	0.003	0.192
2.893	0.122	0.034	0.341	1.014	0.047	0.141	0.003	0.071
2.959	0.115	0.133	0.38	0.966	0.039	0.105	0.015	0.103
2.985	0.042	0.142	0.327	1.001	0.034	0.15	0.011	0.107
2.737	0.138	0.06	0.36	0.909	0.051	0.152	0	0.064
3.142	0.14	0.094	0.371	0.963	0.025	0.157	0.042	0.23
3.061	0.102	0.17	0.21	1.035	0.014	0.109	0.021	0.236
2.941	0.179	0.13	0.233	1.022	0.042	0.162	0	0.14
3.072	0.07	0.106	0.345	0.982	0.03	0.192	0.029	0.182
2.915	0.112	0.074	0.373	0.981	0.013	0.183	0.018	0.038
3.239	0.132	0.154	0.359	0.996	0.038	0.177	0.004	0.192
2.927	0.109	0.198	0.232	0.867	0.061	0.259	0	0.221
3.184	0.108	0.156	0.238	1.059	0.027	0.191	0.055	0.143
3.183	0.106	0.171	0.357	1.016	0.051	0.169	0.049	0.074
3.34	0.136	0.089	0.446	0.938	0.047	0.199	0.062	0.217
2.804	0.054	0.033	0.346	0.949	0.022	0.147	0.024	0.104
2.635	0.095	0.147	0.276	0.891	0.062	0.139	0.033	0.006
3.19	0.095	0.177	0.328	0.998	0.034	0.224	0.007	0.181
3.262	0.086	0.09	0.429	1.028	0.064	0.254	0	0.098
3.179	0	0.122	0.31	0.969	0.028	0.241	0.03	0.234
2.874	0.086	0.084	0.334	0.952	0.037	0.1	0.019	0.157
2.786	0.115	0.15	0.331	0.89	0.067	0.159	0.003	0.089
2.798	0.135	0.106	0.233	1.009	0.033	0.065	0.012	0.146
2.876	0.04	0.042	0.189	0.942	0.027	0.284	0.013	0.217
2.829	0.117	0.033	0.209	0.934	0.044	0.2	0.039	0.173
3.046	0.151	0.099	0.344	1.034	0.051	0.115	0.019	0.094
2.935	0.138	0.134	0.308	0.958	0.059	0.115	0	0.152
2.893	0.074	0.114	0.226	1.008	0.042	0.197	0	0.138
3.247	0.133	0.129	0.386	0.962	0.032	0.271	0.023	0.162
3.03	0.107	0.084	0.317	0.979	0.012	0.211	0.023	0.154
2.928	0.114	0.088	0.33	1.008	0.034	0.08	0.017	0.138
2.904	0.07	0.014	0.222	0.981	0.032	0.298	0.015	0.202
3.071	0.064	0.072	0.481	1.008	0.031	0.067	0.014	0.111
2.757	0.122	0.077	0.351	0.908	0.014	0.095	0.015	0.111
2.849	0.101	0.167	0.347	0.977	0.043	0.137	0	0
3.374	0.03	0.104	0.351	1.096	0.056	0.153	0.001	0.26
3.107	0.103	0.042	0.414	0.974	0.034	0.092	0.027	0.221
3.084	0.037	0.154	0.38	0.979	0.013	0.203	0.001	0.142
2.909	0.027	0.094	0.358	0.986	0.053	0.201	0	0.058
3.141	0.101	0.145	0.308	1.042	0.068	0.162	0	0.163
3.12	0.109	0.058	0.309	1.007	0.055	0.284	0.034	0.142
3.154	0.141	0.083	0.294	0.979	0.03	0.343	0.036	0.144
3.052	0.106	0.138	0.319	0.941	0.028	0.297	0.02	0.146
3.079	0.092	0.091	0.326	1.041	0.037	0.253	0.035	0.026
3.159	0.123	0.167	0.374	0.897	0.035	0.294	0.013	0.176
3.221	0.049	0.112	0.411	1.025	0.045	0.134	0.02	0.164
3.005	0.103	0.076	0.235	1.034	0.041	0.208	0.011	0.19
3.327	0.136	0.166	0.242	1.008	0.045	0.282	0	0.307
3.017	0.099	0.01	0.344	0.918	0.021	0.154	0.039	0.267
3.241	0.157	0.032	0.398	1.007	0.04	0.252	0	0.182
2.973	0.092	0.113	0.351	1.01	0.047	0.146	0	0.068
2.791	0.085	0.079	0.177	0.991	0.035	0.174	0.048	0.117
3.058	0.114	0.083	0.445	0.985	0.053	0.112	0.022	0.09
2.999	0.079	0.105	0.289	0.988	0.029	0.292	0.054	0.029
2.983	0.078	0.111	0.297	1.033	0.048	0.11	0.021	0.145
3.061	0.054	0.157	0.401	0.976	0.009	0.19	0.015	0.091
2.988	0.069	0.099	0.388	0.948	0.052	0.105	0	0.228
3.103	0.03	0.105	0.413	0.954	0.058	0.248	0.02	0.106
2.801	0.092	0.148	0.291	0.94	0.059	0.156	0	0.091
3.079	0.072	0.133	0.27	1.052	0.006	0.067	0.046	0.189
2.894	0.082	0.067	0.385	1.001	0.02	0.169	0.013	0
3.106	0.096	0.167	0.384	0.967	0.021	0.102	0.031	0.166
3.304	0.137	0.16	0.376	0.942	0.036	0.28	0.032	0.218
3.395	0.086	0.095	0.355	1.02	0.045	0.266	0.024	0.318
2.996	0.051	0.135	0.436	0.895	0.019	0.204	0.011	0.124
3.255	0.155	0.113	0.343	1.013	0.029	0.221	0.03	0.177
3.146	0.052	0.146	0.32	1.007	0.021	0.199	0.029	0.202
3.065	0.098	0.117	0.452	0.951	0.047	0.05	0	0.175
3.286	0.083	0.159	0.443	1.017	0.058	0.194	0.004	0.132
2.468	0.058	0.143	0.2	0.91	0.033	0.094	0.024	0.013
3.05	0.124	0.061	0.305	1.001	0.056	0.124	0.001	0.313
2.795	0.144	0.219	0.232	0.915	0.028	0.198	0.024	0.049
3.067	0.134	0.06	0.303	1.043	0.033	0.14	0.017	0.14
3.302	0.165	0.157	0.359	1.056	0.047	0.264	0.004	0.099
3.028	0.058	0.153	0.423	0.95	0.018	0.217	0.002	0.057
2.761	0.083	0.126	0.197	1.029	0.02	0.166	0.015	0.029
3.068	0.14	0.101	0.335	1.049	0.036	0.139	0	0.111
2.641	0.143	0.105	0.275	0.889	0.025	0.115	0.036	0.071
3.001	0.166	0.054	0.245	0.971	0.051	0.195	0.02	0.223
2.971	0.063	0.091	0.419	0.951	0.026	0.268	0.004	0.024
3.388	0.13	0.094	0.606	1.001	0.052	0.114	0.023	0.121
3.128	0.071	0.236	0.446	0.981	0.032	0.142	0.005	0.052
3.296	0.095	0.106	0.49	0.981	0.015	0.211	0	0.188
3.2	0.066	0.063	0.383	0.964	0.033	0.264	0.024	0.195
3.273	0.095	0.053	0.361	1.049	0.048	0.107	0.037	0.232
2.851	0.056	0.083	0.334	0.906	0.042	0.182	0.027	0.142
2.901	0.073	0.105	0.275	0.991	0.034	0.232	0.034	0.033
3.336	0.102	0.119	0.373	1.025	0.069	0.2	0.035	0.247
3.355	0.074	0.186	0.368	0.961	0.035	0.184	0	0.337
2.947	0.106	0.119	0.335	0.917	0.01	0.227	0.01	0.138
3.206	0.037	0.123	0.335	1.001	0.04	0.172	0.023	0.316
3.323	0.072	0.063	0.438	1.005	0.054	0.17	0.024	0.224
3.253	0.032	0.112	0.308	1.084	0.042	0.188	0.05	0.18
2.951	0.06	0.124	0.282	0.988	0.038	0.158	0.021	0.123
3.185	0.051	0.141	0.319	1.064	0.017	0.14	0.013	0.182
3.142	0.087	0.085	0.306	0.993	0.04	0.253	0.012	0.181
2.681	0.023	0.205	0.282	0.969	0.032	0.078	0	0.008
2.642	0.142	0.124	0.251	0.921	0.006	0.163	0	0.057
3.033	0.109	0.09	0.256	1.069	0.054	0.093	0.03	0.133
3.321	0.082	0.079	0.344	1.065	0.062	0.213	0.017	0.276
3.042	0.109	0.083	0.208	1.053	0.046	0.211	0.015	0.191
3.093	0.055	0.122	0.337	0.966	0.042	0.273	0.039	0.134
2.908	0.014	0.028	0.349	1.006	0.035	0.16	0.007	0.111
2.809	0.104	0.085	0.236	1.013	0.052	0.156	0	0.077
3.146	0.085	0.069	0.345	1.036	0.054	0.169	0	0.2
3.165	0.045	0.082	0.439	0.955	0.041	0.262	0.017	0.161
2.947	0.055	0.108	0.382	1.008	0.033	0.143	0.018	0.021
3.011	0.062	0.139	0.249	1.028	0.038	0.143	0.051	0.104
3.087	0.055	0.155	0.327	0.988	0.055	0.159	0.025	0.19
3.168	0.158	0.105	0.366	0.976	0.04	0.167	0.033	0.217
3.221	0.095	0.119	0.367	0.952	0.036	0.139	0.031	0.285
3.063	0.051	0.157	0.371	0.968	0.042	0.212	0.011	0.097
3.128	0.095	0.129	0.216	1.072	0.059	0.139	0.003	0.224
3.311	0.089	0.184	0.387	1.098	0.042	0.238	0.017	0.01
2.971	0.144	0.156	0.367	0.988	0.036	0.165	0.017	0
2.961	0.009	0.034	0.373	0.964	0.048	0.179	0.045	0.137
3.262	0.084	0.126	0.404	1.034	0.031	0.215	0.033	0.085
3.266	0.099	0.096	0.36	1.067	0.045	0.105	0.018	0.237
2.704	0.127	0.13	0.229	0.883	0.022	0.16	0.002	0.224
