O	Na	Mg	Al	Si	K	Ca	Ti	Fe
3.061	0.136	0.16	0.349	0.982	0.043	0.168	0	0.126
3.332	0.085	0.217	0.357	0.956	0.022	0.197	0.023	0.254
2.918	0.049	0.093	0.201	1.037	0.034	0.186	0.056	0.085
2.978	0.046	0.084	0.272	1	0.053	0.214	0.021	0.171
2.617	0.127	0.179	0.193	0.932	0.055	0.168	0.013	0
3.161	0.077	0.108	0.333	0.992	0.016	0.2	0.003	0.292
3.202	0.108	0.106	0.336	1.053	0.056	0.165	0.021	0.155
2.719	0.063	0.014	0.239	0.949	0.027	0.14	0.027	0.148
2.873	0.146	0.197	0.24	0.997	0.048	0.16	0.032	0
2.78	0.102	0.114	0.354	0.893	0.055	0.185	0.011	0.055
2.686	0	0.086	0.323	0.898	0.068	0.157	0	0.09
2.736	0.161	0.077	0.189	1.024	0.017	0.097	0.035	0.056
2.752	0.065	0.067	0.25	0.938	0.034	0.296	0.016	0.039
3.105	0.097	0.078	0.364	1.061	0.016	0.078	0.024	0.174
2.814	0.023	0.11	0.192	0.998	0.035	0.183	0.042	0.082
3.317	0.04	0.087	0.352	1.069	0.033	0.275	0.023	0.178
3.11	0.112	0.153	0.248	1.003	0.04	0.278	0	0.207
3.266	0.054	0.141	0.45	0.974	0.064	0.165	0.018	0.17
3.387	0.087	0.231	0.427	1.039	0.045	0.079	0.018	0.215
3.256	0.095	0.126	0.297	1	0.015	0.328	0.023	0.201
2.961	0.087	0.027	0.23	1.113	0.03	0.156	0.024	0.097
2.851	0.08	0.097	0.165	0.98	0.034	0.263	0.025	0.156
2.926	0.012	0.047	0.208	1.002	0.065	0.189	0.033	0.204
3.141	0.097	0.211	0.364	0.971	0.04	0.135	0.055	0.102
3.158	0.067	0.097	0.38	0.974	0.059	0.221	0.028	0.175
2.925	0.04	0.125	0.29	0.969	0.038	0.226	0.023	0.095
3.128	0.044	0.119	0.422	0.931	0.041	0.13	0.025	0.207
2.877	0.12	0.127	0.245	0.97	0.044	0.179	0	0.158
